IssueLabelID,Title,Description,Title_Description,Label,Assignee,CreatedAt,ClosedAt
39405,ChangedText.WithChanges crashes when new deletion larger than old,"Do we also need to handle the case where the new deletion is larger than the old? It looks like the following fails with or without this PR:
```C#
var original = SourceText.From(""01234"");
var change1 = original.WithChanges(new TextChange(new TextSpan(1 3) ""aa""));
var change2 = change1.WithChanges(new TextChange(new TextSpan(1 3) ""bb""));

var changes = change2.GetTextChanges(original);
Assert.Equal(""0aa4"" change1.ToString());
Assert.Equal(""0bb"" change2.ToString());
```
We can log a bug for this case and handle it separately.

_Originally posted by @cston in https://github.com/dotnet/roslyn/pull/39258_

/cc @ashmind","ChangedText.WithChanges crashes when new deletion larger than old Do we also need to handle the case where the new deletion is larger than the old? It looks like the following fails with or without this PR:
```C#
var original = SourceText.From(""01234"");
var change1 = original.WithChanges(new TextChange(new TextSpan(1 3) ""aa""));
var change2 = change1.WithChanges(new TextChange(new TextSpan(1 3) ""bb""));

var changes = change2.GetTextChanges(original);
Assert.Equal(""0aa4"" change1.ToString());
Assert.Equal(""0bb"" change2.ToString());
```
We can log a bug for this case and handle it separately.

_Originally posted by @cston in https://github.com/dotnet/roslyn/pull/39258_

/cc @ashmind",Area-Compilers|Bug|help wanted,RikkiGibson|ashmind|cston,20/10/2019 13:23,
39403,Merge master to features/static-lambdas,"
This is an automatically generated pull request from master into features/static-lambdas.

``` bash
git fetch --all
git checkout merges/master-to-features/static-lambdas
git reset --hard upstream/features/static-lambdas
git merge upstream/master
# Fix merge conflicts
git commit
git push upstream merges/master-to-features/static-lambdas --force
```
Once all conflicts are resolved and all the tests pass you are free to merge the pull request.","Merge master to features/static-lambdas 
This is an automatically generated pull request from master into features/static-lambdas.

``` bash
git fetch --all
git checkout merges/master-to-features/static-lambdas
git reset --hard upstream/features/static-lambdas
git merge upstream/master
# Fix merge conflicts
git commit
git push upstream merges/master-to-features/static-lambdas --force
```
Once all conflicts are resolved and all the tests pass you are free to merge the pull request.",Area-Infrastructure|auto-merge,dotnet-bot,19/10/2019 23:03,
39402,Merge master to release/dev16.5-preview1,"
This is an automatically generated pull request from master into release/dev16.5-preview1.

``` bash
git fetch --all
git checkout merges/master-to-release/dev16.5-preview1
git reset --hard upstream/release/dev16.5-preview1
git merge upstream/master
# Fix merge conflicts
git commit
git push upstream merges/master-to-release/dev16.5-preview1 --force
```
Once all conflicts are resolved and all the tests pass you are free to merge the pull request.","Merge master to release/dev16.5-preview1 
This is an automatically generated pull request from master into release/dev16.5-preview1.

``` bash
git fetch --all
git checkout merges/master-to-release/dev16.5-preview1
git reset --hard upstream/release/dev16.5-preview1
git merge upstream/master
# Fix merge conflicts
git commit
git push upstream merges/master-to-release/dev16.5-preview1 --force
```
Once all conflicts are resolved and all the tests pass you are free to merge the pull request.",Area-Infrastructure|auto-merge,dotnet-bot,19/10/2019 23:02,
39401,Completion: support local language identifiers and en-us keywords,"Fixes https://github.com/dotnet/roslyn/issues/29938

Tests borrowed from https://github.com/dotnet/roslyn/pull/30391
Idea of implementation is suggested by @jasonmalinowski ","Completion: support local language identifiers and en-us keywords Fixes https://github.com/dotnet/roslyn/issues/29938

Tests borrowed from https://github.com/dotnet/roslyn/pull/30391
Idea of implementation is suggested by @jasonmalinowski ",Area-IDE|IDE-IntelliSense,ivanbasov|jasonmalinowski,19/10/2019 11:11,
39400,Merge master to features/static-lambdas,"
This is an automatically generated pull request from master into features/static-lambdas.

``` bash
git fetch --all
git checkout merges/master-to-features/static-lambdas
git reset --hard upstream/features/static-lambdas
git merge upstream/master
# Fix merge conflicts
git commit
git push upstream merges/master-to-features/static-lambdas --force
```
Once all conflicts are resolved and all the tests pass you are free to merge the pull request.","Merge master to features/static-lambdas 
This is an automatically generated pull request from master into features/static-lambdas.

``` bash
git fetch --all
git checkout merges/master-to-features/static-lambdas
git reset --hard upstream/features/static-lambdas
git merge upstream/master
# Fix merge conflicts
git commit
git push upstream merges/master-to-features/static-lambdas --force
```
Once all conflicts are resolved and all the tests pass you are free to merge the pull request.",Area-Infrastructure|auto-merge,dotnet-bot|dibarbet,19/10/2019 11:04,19/10/2019 13:32
39399,Merge master to features/local-function-attributes,"
This is an automatically generated pull request from master into features/local-function-attributes.

``` bash
git fetch --all
git checkout merges/master-to-features/local-function-attributes
git reset --hard upstream/features/local-function-attributes
git merge upstream/master
# Fix merge conflicts
git commit
git push upstream merges/master-to-features/local-function-attributes --force
```
Once all conflicts are resolved and all the tests pass you are free to merge the pull request.","Merge master to features/local-function-attributes 
This is an automatically generated pull request from master into features/local-function-attributes.

``` bash
git fetch --all
git checkout merges/master-to-features/local-function-attributes
git reset --hard upstream/features/local-function-attributes
git merge upstream/master
# Fix merge conflicts
git commit
git push upstream merges/master-to-features/local-function-attributes --force
```
Once all conflicts are resolved and all the tests pass you are free to merge the pull request.",Area-Infrastructure|auto-merge,dotnet-bot,19/10/2019 11:04,
39398,Merge master to release/dev16.5-preview1,"
This is an automatically generated pull request from master into release/dev16.5-preview1.

``` bash
git fetch --all
git checkout merges/master-to-release/dev16.5-preview1
git reset --hard upstream/release/dev16.5-preview1
git merge upstream/master
# Fix merge conflicts
git commit
git push upstream merges/master-to-release/dev16.5-preview1 --force
```
Once all conflicts are resolved and all the tests pass you are free to merge the pull request.","Merge master to release/dev16.5-preview1 
This is an automatically generated pull request from master into release/dev16.5-preview1.

``` bash
git fetch --all
git checkout merges/master-to-release/dev16.5-preview1
git reset --hard upstream/release/dev16.5-preview1
git merge upstream/master
# Fix merge conflicts
git commit
git push upstream merges/master-to-release/dev16.5-preview1 --force
```
Once all conflicts are resolved and all the tests pass you are free to merge the pull request.",Area-Infrastructure|auto-merge,dotnet-bot|dibarbet,19/10/2019 11:02,19/10/2019 13:33
39395,Performance fix in analyzer driver for CFG based analyzers,"We expose public APIs on IOperation related analysis contexts to allow flow based analyzers to fetch ControlFlowGraph for the operation block. Additionally the analyzer driver caches the CFGs for operation block (when first requested by some flow based analyzer) to allow sharing CFGs between flow based analyzers. However we were holding onto these for the entire lifetime of the compilation. This change fixes that by removing the CFG entry once a particular operation block has been fully analyzed.

Fixes VSFeedback issue [#998181](https://dev.azure.com/devdiv/DevDiv/_workitems/edit/998181)

Verified no performance regression in benchmarks:

1. Before this commit:
```
|                      Method | UnrollFactor |        Mean |    Error |   StdDev |      Median |         Min |         Max |       Gen 0 |      Gen 1 |     Gen 2 |  Allocated |
|---------------------------- |------------- |------------:|---------:|---------:|------------:|------------:|------------:|------------:|-----------:|----------:|-----------:|
|       CompileMethodsAndEmit |           16 |  4950.5 ms | 26.68 ms | 24.96 ms |  4942.9 ms |  4912.7 ms |  4996.9 ms |  83000.0000 | 24000.0000 |         - |  506.23 MB |
|           SerializeMetadata |           16 |    294.6 ms |  2.77 ms |  2.72 ms |    294.0 ms |    289.5 ms |    298.8 ms |   3000.0000 |  1000.0000 |         - |   33.21 MB |
|              GetDiagnostics |            1 |  3661.5 ms | 15.32 ms | 12.79 ms |  3659.7 ms |  3642.0 ms |  3679.7 ms |  78000.0000 | 21000.0000 |         - |  389.27 MB |
| GetDiagnosticsWithAnalyzers |            1 | 13329.6 ms | 78.06 ms | 73.02 ms | 13296.6 ms | 13219.2 ms | 13459.5 ms | 232000.0000 | 63000.0000 | 2000.0000 | 1399.55 MB |
```

2. After this commit:
```
|                      Method | UnrollFactor |        Mean |    Error |   StdDev |      Median |         Min |         Max |       Gen 0 |      Gen 1 |     Gen 2 |  Allocated |
|---------------------------- |------------- |------------:|---------:|---------:|------------:|------------:|------------:|------------:|-----------:|----------:|-----------:|
|       CompileMethodsAndEmit |           16 |  4957.1 ms | 45.94 ms | 40.72 ms |  4945.3 ms |  4911.2 ms |  5061.0 ms |  83000.0000 | 22000.0000 |         - |  506.41 MB |
|           SerializeMetadata |           16 |    289.0 ms |  3.66 ms | 10.02 ms |    287.8 ms |    273.5 ms |    318.1 ms |   3000.0000 |          - |         - |   33.21 MB |
|              GetDiagnostics |            1 |  3659.9 ms | 14.19 ms | 12.57 ms |  3656.7 ms |  3644.3 ms |  3686.5 ms |  78000.0000 | 21000.0000 |         - |  389.26 MB |
| GetDiagnosticsWithAnalyzers |            1 | 13408.3 ms | 75.15 ms | 58.67 ms | 13411.2 ms | 13295.4 ms | 13498.3 ms | 234000.0000 | 63000.0000 | 3000.0000 | 1409.24 MB |
```","Performance fix in analyzer driver for CFG based analyzers We expose public APIs on IOperation related analysis contexts to allow flow based analyzers to fetch ControlFlowGraph for the operation block. Additionally the analyzer driver caches the CFGs for operation block (when first requested by some flow based analyzer) to allow sharing CFGs between flow based analyzers. However we were holding onto these for the entire lifetime of the compilation. This change fixes that by removing the CFG entry once a particular operation block has been fully analyzed.

Fixes VSFeedback issue [#998181](https://dev.azure.com/devdiv/DevDiv/_workitems/edit/998181)

Verified no performance regression in benchmarks:

1. Before this commit:
```
|                      Method | UnrollFactor |        Mean |    Error |   StdDev |      Median |         Min |         Max |       Gen 0 |      Gen 1 |     Gen 2 |  Allocated |
|---------------------------- |------------- |------------:|---------:|---------:|------------:|------------:|------------:|------------:|-----------:|----------:|-----------:|
|       CompileMethodsAndEmit |           16 |  4950.5 ms | 26.68 ms | 24.96 ms |  4942.9 ms |  4912.7 ms |  4996.9 ms |  83000.0000 | 24000.0000 |         - |  506.23 MB |
|           SerializeMetadata |           16 |    294.6 ms |  2.77 ms |  2.72 ms |    294.0 ms |    289.5 ms |    298.8 ms |   3000.0000 |  1000.0000 |         - |   33.21 MB |
|              GetDiagnostics |            1 |  3661.5 ms | 15.32 ms | 12.79 ms |  3659.7 ms |  3642.0 ms |  3679.7 ms |  78000.0000 | 21000.0000 |         - |  389.27 MB |
| GetDiagnosticsWithAnalyzers |            1 | 13329.6 ms | 78.06 ms | 73.02 ms | 13296.6 ms | 13219.2 ms | 13459.5 ms | 232000.0000 | 63000.0000 | 2000.0000 | 1399.55 MB |
```

2. After this commit:
```
|                      Method | UnrollFactor |        Mean |    Error |   StdDev |      Median |         Min |         Max |       Gen 0 |      Gen 1 |     Gen 2 |  Allocated |
|---------------------------- |------------- |------------:|---------:|---------:|------------:|------------:|------------:|------------:|-----------:|----------:|-----------:|
|       CompileMethodsAndEmit |           16 |  4957.1 ms | 45.94 ms | 40.72 ms |  4945.3 ms |  4911.2 ms |  5061.0 ms |  83000.0000 | 22000.0000 |         - |  506.41 MB |
|           SerializeMetadata |           16 |    289.0 ms |  3.66 ms | 10.02 ms |    287.8 ms |    273.5 ms |    318.1 ms |   3000.0000 |          - |         - |   33.21 MB |
|              GetDiagnostics |            1 |  3659.9 ms | 14.19 ms | 12.57 ms |  3656.7 ms |  3644.3 ms |  3686.5 ms |  78000.0000 | 21000.0000 |         - |  389.26 MB |
| GetDiagnosticsWithAnalyzers |            1 | 13408.3 ms | 75.15 ms | 58.67 ms | 13411.2 ms | 13295.4 ms | 13498.3 ms | 234000.0000 | 63000.0000 | 3000.0000 | 1409.24 MB |
```",Area-Analyzers|Area-Compilers,mavasani,19/10/2019 8:40,
39394,Re-use semantic model when attempting to compute suppress message att…,"…ribute based suppressions

Current implementation always creates a new semantic model for decoding local suppress message attributes (applied to each symbol). This change attempts to re-use the cached semantic models held by the analyzer driver to avoid rebinding cost.

Fixes VSFeedback issue [#973445](https://dev.azure.com/devdiv/DevDiv/_workitems/edit/973445)

Verified no regression in perf benchmarks:

Before this change:
```
|                      Method | UnrollFactor |        Mean |     Error |    StdDev |      Median |         Min |         Max |       Gen 0 |      Gen 1 |     Gen 2 |  Allocated |
|---------------------------- |------------- |------------:|----------:|----------:|------------:|------------:|------------:|------------:|-----------:|----------:|-----------:|
|       CompileMethodsAndEmit |           16 |  4857.7 ms |  10.11 ms |   7.89 ms |  4859.1 ms |  4841.8 ms |  4868.6 ms |  83000.0000 | 24000.0000 |         - |  505.41 MB |
|           SerializeMetadata |           16 |    280.2 ms |   2.79 ms |   4.09 ms |    280.1 ms |    273.4 ms |    289.3 ms |   3000.0000 |  1000.0000 |         - |    33.2 MB |
|              GetDiagnostics |            1 |  3580.0 ms |   6.14 ms |   5.13 ms |  3580.2 ms |  3572.5 ms |  3592.2 ms |  78000.0000 | 22000.0000 |         - |  388.35 MB |
| GetDiagnosticsWithAnalyzers |            1 | 13022.7 ms | 128.31 ms | 157.58 ms | 12990.0 ms | 12846.8 ms | 13534.0 ms | 254000.0000 | 68000.0000 | 3000.0000 | 1523.64 MB |
```

After this change:
```
|                      Method | UnrollFactor |        Mean |    Error |   StdDev |      Median |         Min |         Max |       Gen 0 |      Gen 1 |     Gen 2 |  Allocated |
|---------------------------- |------------- |------------:|---------:|---------:|------------:|------------:|------------:|------------:|-----------:|----------:|-----------:|
|       CompileMethodsAndEmit |           16 |  4864.4 ms | 33.31 ms | 31.15 ms |  4850.4 ms |  4836.0 ms |  4928.2 ms |  83000.0000 | 22000.0000 |         - |   505.5 MB |
|           SerializeMetadata |           16 |    284.4 ms |  2.31 ms |  2.05 ms |    284.7 ms |    279.9 ms |    286.9 ms |   3000.0000 |          - |         - |   33.21 MB |
|              GetDiagnostics |            1 |  3603.0 ms | 17.84 ms | 14.90 ms |  3601.8 ms |  3586.8 ms |  3640.6 ms |  77000.0000 | 18000.0000 |         - |  388.32 MB |
| GetDiagnosticsWithAnalyzers |            1 | 13003.7 ms | 68.14 ms | 63.74 ms | 13002.5 ms | 12857.8 ms | 13124.9 ms | 255000.0000 | 68000.0000 | 3000.0000 | 1524.79 MB |
```","Re-use semantic model when attempting to compute suppress message att… …ribute based suppressions

Current implementation always creates a new semantic model for decoding local suppress message attributes (applied to each symbol). This change attempts to re-use the cached semantic models held by the analyzer driver to avoid rebinding cost.

Fixes VSFeedback issue [#973445](https://dev.azure.com/devdiv/DevDiv/_workitems/edit/973445)

Verified no regression in perf benchmarks:

Before this change:
```
|                      Method | UnrollFactor |        Mean |     Error |    StdDev |      Median |         Min |         Max |       Gen 0 |      Gen 1 |     Gen 2 |  Allocated |
|---------------------------- |------------- |------------:|----------:|----------:|------------:|------------:|------------:|------------:|-----------:|----------:|-----------:|
|       CompileMethodsAndEmit |           16 |  4857.7 ms |  10.11 ms |   7.89 ms |  4859.1 ms |  4841.8 ms |  4868.6 ms |  83000.0000 | 24000.0000 |         - |  505.41 MB |
|           SerializeMetadata |           16 |    280.2 ms |   2.79 ms |   4.09 ms |    280.1 ms |    273.4 ms |    289.3 ms |   3000.0000 |  1000.0000 |         - |    33.2 MB |
|              GetDiagnostics |            1 |  3580.0 ms |   6.14 ms |   5.13 ms |  3580.2 ms |  3572.5 ms |  3592.2 ms |  78000.0000 | 22000.0000 |         - |  388.35 MB |
| GetDiagnosticsWithAnalyzers |            1 | 13022.7 ms | 128.31 ms | 157.58 ms | 12990.0 ms | 12846.8 ms | 13534.0 ms | 254000.0000 | 68000.0000 | 3000.0000 | 1523.64 MB |
```

After this change:
```
|                      Method | UnrollFactor |        Mean |    Error |   StdDev |      Median |         Min |         Max |       Gen 0 |      Gen 1 |     Gen 2 |  Allocated |
|---------------------------- |------------- |------------:|---------:|---------:|------------:|------------:|------------:|------------:|-----------:|----------:|-----------:|
|       CompileMethodsAndEmit |           16 |  4864.4 ms | 33.31 ms | 31.15 ms |  4850.4 ms |  4836.0 ms |  4928.2 ms |  83000.0000 | 22000.0000 |         - |   505.5 MB |
|           SerializeMetadata |           16 |    284.4 ms |  2.31 ms |  2.05 ms |    284.7 ms |    279.9 ms |    286.9 ms |   3000.0000 |          - |         - |   33.21 MB |
|              GetDiagnostics |            1 |  3603.0 ms | 17.84 ms | 14.90 ms |  3601.8 ms |  3586.8 ms |  3640.6 ms |  77000.0000 | 18000.0000 |         - |  388.32 MB |
| GetDiagnosticsWithAnalyzers |            1 | 13003.7 ms | 68.14 ms | 63.74 ms | 13002.5 ms | 12857.8 ms | 13124.9 ms | 255000.0000 | 68000.0000 | 3000.0000 | 1524.79 MB |
```",Area-Analyzers|Area-Compilers,mavasani,19/10/2019 6:56,
39393,Fix switch expression conversion creates broken code due to unspecific var return,"Fixes #38771 and fixes #39363 

Also changed the result of an existing test that seems to result in a compiler error.","Fix switch expression conversion creates broken code due to unspecific var return Fixes #38771 and fixes #39363 

Also changed the result of an existing test that seems to result in a compiler error.",Area-IDE,allisonchou,19/10/2019 6:32,
