IssueLabelID,Title,Description,Title_Description,Label,Assignee,CreatedAt,ClosedAt
13047,Merge release/2.1.5xx to release/2.1.6xx,,Merge release/2.1.5xx to release/2.1.6xx ,None,wli3,,
13040,Set DOTNET_ROOT in tests,,Set DOTNET_ROOT in tests ,tell-mode,wli3,,
13039,Set DOTNET_ROOT in tests,,Set DOTNET_ROOT in tests ,tell-mode,wli3,,
13033,WIP: Installation Script Update Test,Installation Script Update Test,WIP: Installation Script Update Test Installation Script Update Test,None,johnbeisner,,
13031,Update SDK to get mac10.15 signing fix,part of https://github.com/dotnet/sdk/issues/3773,Update SDK to get mac10.15 signing fix part of https://github.com/dotnet/sdk/issues/3773,None,wli3,,
13030,Installation script update,"Installation script update

Addresses: https://github.com/dotnet/sdk/issues/3827","Installation script update Installation script update

Addresses: https://github.com/dotnet/sdk/issues/3827",Install-Script,johnbeisner,,
13028,Merge release/2.1.5xx to 2.1.6xx to get mac 10.15 signing change,,Merge release/2.1.5xx to 2.1.6xx to get mac 10.15 signing change ,None,wli3,,
13027,Update SDK with mac10.15 signing fix,part of https://github.com/dotnet/sdk/issues/3773,Update SDK with mac10.15 signing fix part of https://github.com/dotnet/sdk/issues/3773,None,wli3,,
13003,Remove signature on MAC host for dotnet tools,"Part of https://github.com/dotnet/sdk/issues/3773

@swaroop-sridhar","Remove signature on MAC host for dotnet tools Part of https://github.com/dotnet/sdk/issues/3773

@swaroop-sridhar",Servicing-approved,None,31/10/2019 10:57,1/11/2019 8:06
12991,Merge release/3.0.1xx to release/3.1.1xx,"
This is an automatically generated pull request from release/3.0.1xx into release/3.1.1xx.


Once all conflicts are resolved and all the tests pass you are free to merge the pull request.","Merge release/3.0.1xx to release/3.1.1xx 
This is an automatically generated pull request from release/3.0.1xx into release/3.1.1xx.


Once all conflicts are resolved and all the tests pass you are free to merge the pull request.",Area-Infrastructure,nguerrera,29/10/2019 23:04,30/10/2019 7:08
12983,Port to release/3.1.1xx - Fix eventProperties.Add mutate _commonProperties,port of this https://github.com/dotnet/cli/pull/12899,Port to release/3.1.1xx - Fix eventProperties.Add mutate _commonProperties port of this https://github.com/dotnet/cli/pull/12899,None,wli3,,
12979,Razor build server (process 27970) failed to shut down: The shutdown command failed: The application to execute does not exist,"## Steps to reproduce






","Razor build server (process 27970) failed to shut down: The shutdown command failed: The application to execute does not exist ## Steps to reproduce






",None,wli3,,
12974,Merge release/3.0.1xx to release/3.1.1xx,"
This is an automatically generated pull request from release/3.0.1xx into release/3.1.1xx.


Once all conflicts are resolved and all the tests pass you are free to merge the pull request.","Merge release/3.0.1xx to release/3.1.1xx 
This is an automatically generated pull request from release/3.0.1xx into release/3.1.1xx.


Once all conflicts are resolved and all the tests pass you are free to merge the pull request.",Area-Infrastructure,nguerrera,24/10/2019 11:05,26/10/2019 9:33
12972,Fix typo,Error made during 3.0.x servicing changes,Fix typo Error made during 3.0.x servicing changes,tell-mode,nguerrera,24/10/2019 8:27,26/10/2019 8:50
12966,Port change to other branches,"- [x] https://github.com/dotnet/cli/pull/12955
- [x] https://github.com/dotnet/cli/pull/12899
","Port change to other branches - [x] https://github.com/dotnet/cli/pull/12955
- [x] https://github.com/dotnet/cli/pull/12899
",None,wli3,,
12955,Fix mark of the web,,"Fix mark of the web 
",None,nguerrera,,
12925,Merge release/3.1.1xx to master,"
This is an automatically generated pull request from release/3.1.1xx into master.


Once all conflicts are resolved and all the tests pass you are free to merge the pull request.","Merge release/3.1.1xx to master 
This is an automatically generated pull request from release/3.1.1xx into master.


Once all conflicts are resolved and all the tests pass you are free to merge the pull request.",Area-Infrastructure,nguerrera,19/10/2019 11:05,24/10/2019 8:15
