IssueLabelID,Title,Description.Element:Text,Title_Description.Element:Text,Label.Element:Text,Assignee,CreatedAt,ClosedAt
6129,[Question] Possible integration scenario using Event Hub streaming,"Hello all

I was able to find a couple of topics around Orleans Streaming + Event Hub but I haven't been able to find something around the scenario that I've just tried.

I'd like to integrate a couple of applications and I'd like to take advantage of the rewindable streaming support from Orleans+Event Hub. Direct connection between those products is not doable but the following setup seems to work fine. 

If each application bootstraps their own localhost silo and configure the same Event Hub stream provider they will be able to pass events between each other maintain their own cursor or if I start a new silo and create a new subscriber it will just ingest everything until it catches up. Fortunately this is exactly what I need.

Am I missing something? Is this a valid approach? What are the possible issues I can get into (from the Orleans standpoint/Event Hub standpoint)?



","[Question] Possible integration scenario using Event Hub streaming Hello all

I was able to find a couple of topics around Orleans Streaming + Event Hub but I haven't been able to find something around the scenario that I've just tried.

I'd like to integrate a couple of applications and I'd like to take advantage of the rewindable streaming support from Orleans+Event Hub. Direct connection between those products is not doable but the following setup seems to work fine. 

If each application bootstraps their own localhost silo and configure the same Event Hub stream provider they will be able to pass events between each other maintain their own cursor or if I start a new silo and create a new subscriber it will just ingest everything until it catches up. Fortunately this is exactly what I need.

Am I missing something? Is this a valid approach? What are the possible issues I can get into (from the Orleans standpoint/Event Hub standpoint)?



",question,sergeybykov,,
6128,InconsistentStateException happened when using single silo,"I am using direct client with single silo in same process in asp.net core。
Can this InconsistentStateException  occur in this situation?
net core ：3.0.0
Storage Provider：Azure table Persistence.AzureStorage
orleans：3.0.0","InconsistentStateException happened when using single silo I am using direct client with single silo in same process in asp.net core。
Can this InconsistentStateException  occur in this situation?
net core ：3.0.0
Storage Provider：Azure table Persistence.AzureStorage
orleans：3.0.0",,jason-bragg,,
6126,[WIP] DynamoDB: support extended membership protocol,"Implements the extended membership protocol for DynamoDB.

Fixes #6099 

Still need to go through testing.

I noticed a few things while implementing this:

1.  is getting a bit hard to read with all the low level dynamo db. It could be broken up but it may be better to use a higher level api. That type of refactoring seems outside the scope of this PR though.","[WIP] DynamoDB: support extended membership protocol Implements the extended membership protocol for DynamoDB.

Fixes #6099 

Still need to go through testing.

I noticed a few things while implementing this:

1.  is getting a bit hard to read with all the low level dynamo db. It could be broken up but it may be better to use a higher level api. That type of refactoring seems outside the scope of this PR though.",,ReubenBond,,
6125,Orleans.TestCluster cannot be used at the same time as the unit test. AspNetCore.TestServer is used at the same time.,"Orleans.TestCluster cannot be used at the same time as the unit test. AspNetCore.TestServer is used at the same time.
Is there any other solution?
","Orleans.TestCluster cannot be used at the same time as the unit test. AspNetCore.TestServer is used at the same time. Orleans.TestCluster cannot be used at the same time as the unit test. AspNetCore.TestServer is used at the same time.
Is there any other solution?
",,ReubenBond,,
6124,Fix a typo,,Fix a typo ,documentation,sergeybykov,16/11/2019 3:27,16/11/2019 3:44
6123,Testing GrainServices in Orleans 2.4.2,"Hi there! 

I'm a new bee in Orleans I just joined a team which uses this fantastic tech and now We're in charge of developing some tests **(version 2.4.2)**.

I got to this GrainService and using TestCluster in xUnit I just can't get to the service in the tests. This always returns NULL.

Here are some code from the classes:

Fixture configuring the service in the cluster silos:



I'm stock in this code with no success. What am I doing wrong? What am I missing here? 

Please help!

Thanks beforehands!





","Testing GrainServices in Orleans 2.4.2 Hi there! 

I'm a new bee in Orleans I just joined a team which uses this fantastic tech and now We're in charge of developing some tests **(version 2.4.2)**.

I got to this GrainService and using TestCluster in xUnit I just can't get to the service in the tests. This always returns NULL.

Here are some code from the classes:

Fixture configuring the service in the cluster silos:



I'm stock in this code with no success. What am I doing wrong? What am I missing here? 

Please help!

Thanks beforehands!





",,sergeybykov,,
6121,Remove 1.5 docs,Even though 1.5 docs aren't linked from the menu they still appear in search and cause more confusion than help. I think it's time to delete them for good.,Remove 1.5 docs Even though 1.5 docs aren't linked from the menu they still appear in search and cause more confusion than help. I think it's time to delete them for good.,documentation,sergeybykov,15/11/2019 7:57,15/11/2019 10:05
6120,SMS - PubSubRendezvous not active on silo - orleans 3,"We just recently updated to netcore3 and Orleans 3 and we have some critical issue with SMS it seems to happen mainly with the 
- K8's
- Redis as Storage Provider for SMS
- Silos Count: 9
- Server load 35-60%

Basically we had ended up reverting on prod from using Orleans 3 netcore3 for now as several services are not working correctly.

If you need anything else we be happy to help. Thanks
","SMS - PubSubRendezvous not active on silo - orleans 3 We just recently updated to netcore3 and Orleans 3 and we have some critical issue with SMS it seems to happen mainly with the 
- K8's
- Redis as Storage Provider for SMS
- Silos Count: 9
- Server load 35-60%

Basically we had ended up reverting on prod from using Orleans 3 netcore3 for now as several services are not working correctly.

If you need anything else we be happy to help. Thanks
",,sergeybykov,,
6119,Add a change missed in #6106,,Add a change missed in #6106 ,,ReubenBond,,
6118,Add information about Shared/Main SQL scripts,Fixes #6117.,Add information about Shared/Main SQL scripts Fixes #6117.,documentation,sergeybykov,14/11/2019 5:25,15/11/2019 10:05
6116,Can two grains of the same interface handle one reminder?,"Hi!

Suppose we have two grains implementing one grain interface.  creates a reminder that must be processed in a dummy way.

I hope for your help.","Can two grains of the same interface handle one reminder? Hi!

Suppose we have two grains implementing one grain interface.  creates a reminder that must be processed in a dummy way.

I hope for your help.",question,sergeybykov,,
6115,Transactions & OnActivateAsync,"Hello colleagues

As part of the investigation process for Olreans Transactions I've faced the following issue. One of my grains operates with streams. In order to work properly it requires streams to be resumed as part of ;

Both of them failed with the error displayed above. 

I'm wondering whether this is generally not supported or I'm doing something wrong. Could you please advise?

Thanks.

@sergeybykov @ReubenBond  @jason-bragg ","Transactions & OnActivateAsync Hello colleagues

As part of the investigation process for Olreans Transactions I've faced the following issue. One of my grains operates with streams. In order to work properly it requires streams to be resumed as part of ;

Both of them failed with the error displayed above. 

I'm wondering whether this is generally not supported or I'm doing something wrong. Could you please advise?

Thanks.

@sergeybykov @ReubenBond  @jason-bragg ",,jason-bragg,,
6114,Codegen ignores negative integer type codes for TypeCodeOverride attribute,"The grain interface and class codes could be a negative integer as returned by [Utils.CalculateIdHash](https://github.com/dotnet/orleans/blob/master/src/Orleans.Core/Utils/Utils.cs#L200) But codegen skips such codes and instead is falling back to re-calculation.
https://github.com/dotnet/orleans/blob/bc41bf386095a335b7ccaeda431b5ebf2fd9ac60/src/Orleans.Core/CodeGeneration/GrainInterfaceUtils.cs#L424

Having  is a nice workaround for system evolution scenarios where names/assemblies of the grain interfaces and classes may change and the ability to leave the old type code is crucial. It would be great if this could be patch fixed for 2.4.","Codegen ignores negative integer type codes for TypeCodeOverride attribute The grain interface and class codes could be a negative integer as returned by [Utils.CalculateIdHash](https://github.com/dotnet/orleans/blob/master/src/Orleans.Core/Utils/Utils.cs#L200) But codegen skips such codes and instead is falling back to re-calculation.
https://github.com/dotnet/orleans/blob/bc41bf386095a335b7ccaeda431b5ebf2fd9ac60/src/Orleans.Core/CodeGeneration/GrainInterfaceUtils.cs#L424

Having  is a nice workaround for system evolution scenarios where names/assemblies of the grain interfaces and classes may change and the ability to leave the old type code is crucial. It would be great if this could be patch fixed for 2.4.",,ReubenBond,,
6113,Issues after Orleans 3.0 upgrade running on a Service Fabric Cluster,"I recently upgraded to Orleans 3.0 nuget packages on our application which is deployed on a Service Fabric Cluster. After the upgrade when we run our benchmark tests for performance I am seeing a lot of exceptions being thrown:
It starts from 

types of messages. I am using the Azure Table Storage Clustering for both the client and server.","Issues after Orleans 3.0 upgrade running on a Service Fabric Cluster I recently upgraded to Orleans 3.0 nuget packages on our application which is deployed on a Service Fabric Cluster. After the upgrade when we run our benchmark tests for performance I am seeing a lot of exceptions being thrown:
It starts from 

types of messages. I am using the Azure Table Storage Clustering for both the client and server.",,sergeybykov,,
