RepoID,PullRequestID,IssueID,Title,Code,Description,CreatedDate,ClosedDate,ASTCode,Comment,Title_Description,AST,FixedByID
roslyn,12741,2,Update links in README.md with ported wiki content,,,14/01/2015,14/01/2015,,,Update links in README.md with ported wiki content,,khyperia
roslyn,12741,1,Initial port and addition of README.md,,ThisisaportofthereadmefromCodePlex.SomeofthelinkshavebeenupdatedtopointtolocationsonGitHubbutmanyofthelinksstillpointbacktoCodePlexascomparableGitHublocationsarecurrentlyabsent.,14/01/2015,14/01/2015,,,Initial port and addition of README.md ThisisaportofthereadmefromCodePlex.SomeofthelinkshavebeenupdatedtopointtolocationsonGitHubbutmanyofthelinksstillpointbacktoCodePlexascomparableGitHublocationsarecurrentlyabsent.,,khyperia
roslyn,15966,2,Update links in README.md with ported wiki content,,,14/01/2015,14/01/2015,,,Update links in README.md with ported wiki content,,OmarTawfik
roslyn,30945,8,Feature request: Async stream generators,,CurrentyCsupportspullbasedsequencegenerators.AsIObservableltTgtandIObserverltTgtarenowinmscorlibandRxissuchasuccessnotonlyin.NETbutinotherlanguagesandruntimeswhynottoaddtoCabilitytoeasilycreateasyncpushbasedstreamgenerators.ItcouldlooklikethisItwouldcompletelanguagesupportinthematrixofgeneratorssyncasyncsingleTTaskltTgtmultipleIEnumerableltTgtIObservableltTgt,15/01/2015,29/01/2015,,,Feature request: Async stream generators CurrentyCsupportspullbasedsequencegenerators.AsIObservableltTgtandIObserverltTgtarenowinmscorlibandRxissuchasuccessnotonlyin.NETbutinotherlanguagesandruntimeswhynottoaddtoCabilitytoeasilycreateasyncpushbasedstreamg,,CyrusNajmabadi
roslyn,30639,8,Feature request: Async stream generators,,CurrentyCsupportspullbasedsequencegenerators.AsIObservableltTgtandIObserverltTgtarenowinmscorlibandRxissuchasuccessnotonlyin.NETbutinotherlanguagesandruntimeswhynottoaddtoCabilitytoeasilycreateasyncpushbasedstreamgenerators.ItcouldlooklikethisItwouldcompletelanguagesupportinthematrixofgeneratorssyncasyncsingleTTaskltTgtmultipleIEnumerableltTgtIObservableltTgt,15/01/2015,29/01/2015,,,Feature request: Async stream generators CurrentyCsupportspullbasedsequencegenerators.AsIObservableltTgtandIObserverltTgtarenowinmscorlibandRxissuchasuccessnotonlyin.NETbutinotherlanguagesandruntimeswhynottoaddtoCabilitytoeasilycreateasyncpushbasedstreamg,,Paxxi
roslyn,32699,11,Unable to compile conditional access expression in context of expression-bodied void method/lambda expression,"
		class C<T> {
			void F1(C<T> c) {
				c?.M(); // compiles fine

				// error CS0023: Operator '?' cannot be applied to operand of type 'T'
				Action a = () => c?.M();
			}

			// error CS0023: Operator '?' cannot be applied to operand of type 'T'
			void F2(C<T> c) => c?.M();


			T M() => default(T);
		}",Relatedcommit.invocationincontextofastatementexpressionshouldbeallowedevenifresulttypeoftheinvocationcannotbemadenullable.Imexpectingitalsotoworkwithvoidmethodsinexpressionbodiedformaswellasvoidlambdaexpressionshuboardorder12.0milestone_order11custom_state,15/01/2015,23/02/2015,"f void,-521859879,t void,-222434255,c void,-2089506901,c void,1914449390,c void,354232617,c void,199882993,m void,-306004434,m void,-1845743081,action void,-82428761,a void,-1738267790,METHOD_NAME t,-2015167100,c t,112065031,c t,-412313303,c t,1394193626,c t,1304876,m t,591180620,m t,1524267261,action t,45567417,a t,-1029220137,METHOD_NAME c,-1352301103,c c,-391085602,c c,363349607,c c,-676633134,m c,1545406994,m c,548444874,action c,-296853143,a c,-540750496,METHOD_NAME c,689514365,m c,-181476323,m c,890305671,m c,1102800784,m c,-1188552290,m c,-181476323,m c,-103336644,action c,-825243623,action c,979994016,action c,-2003699681,a c,74038356,a c,1239786472,a c,1220700863,METHOD_NAME c,-527158260,METHOD_NAME c,482201456,METHOD_NAME m,1206727539,action m,-844129799,action m,-2120622274,a m,-1512914653,a m,1817418677,METHOD_NAME m,-180282240,METHOD_NAME action,-1482749549,a action,-831085404,METHOD_NAME a,-1983844346,METHOD_NAME c,1735639493,c c,752320892,c c,385406469,c c,1736305280,c c,-1945783414,c c,1725241479,c m,380038550,m m,-866422137,m
f void,-521859879,t void,-222434255,c void,-2089506901,c void,-712137022,c void,989883796,m void,-1738267790,METHOD_NAME t,-2015167100,c t,112065031,c t,1464296843,c t,204566965,m t,-1029220137,METHOD_NAME c,-1352301103,c c,-50447242,c c,-554342102,m c,-540750496,METHOD_NAME c,237879069,m c,-181476323,m c,1220700863,METHOD_NAME c,1754090242,METHOD_NAME m,1876850837,METHOD_NAME c,1286154030,c c,1899900129,c
m t,-62413241,METHOD_NAME t,-1480396987,METHOD_NAME t,-1395156610,t t,1805807989,t","compiles|fine,COMMENT,compiles|fine
error|cs|operator|cannot|be,COMMENT,error|cs|operator|cannot|be
applied|to|operand|of|type,COMMENT,applied|to|operand|of|type
t,COMMENT,t
error|cs|operator|cannot|be,COMMENT,error|cs|operator|cannot|be
applied|to|operand|of|type,COMMENT,applied|to|operand|of|type
t,COMMENT,t
compiles|fine,COMMENT,compiles|fine
error|cs|operator|cannot|be,COMMENT,error|cs|operator|cannot|be
applied|to|operand|of|type,COMMENT,applied|to|operand|of|type
t,COMMENT,t
error|cs|operator|cannot|be,COMMENT,error|cs|operator|cannot|be
applied|to|operand|of|type,COMMENT,applied|to|operand|of|type
t,COMMENT,t
compiles|fine,COMMENT,compiles|fine
error|cs|operator|cannot|be,COMMENT,error|cs|operator|cannot|be
applied|to|operand|of|type,COMMENT,applied|to|operand|of|type
t,COMMENT,t
error|cs|operator|cannot|be,COMMENT,error|cs|operator|cannot|be
applied|to|operand|of|type,COMMENT,applied|to|operand|of|type
t,COMMENT,t",Unable to compile conditional access expression in context of expression-bodied void method/lambda expression Relatedcommit.invocationincontextofastatementexpressionshouldbeallowedevenifresulttypeoftheinvocationcannotbemadenullable.Imexpectingitalsotowork,"f void,-521859879,t void,-222434255,c void,-2089506901,c void,1914449390,c void,354232617,c void,199882993,m void,-306004434,m void,-1845743081,action void,-82428761,a void,-1738267790,METHOD_NAME t,-2015167100,c t,112065031,c t,-412313303,c t,1394193626,",jcouv
roslyn,24547,6,Corrected documentation on FullSpan and Span,,AspertheIncorrectDocsonFullSpanSpanpropertiesissuethedocumentationwasreversedonafewofthesepairs.huboardorder8.0,15/01/2015,9/02/2015,,,Corrected documentation on FullSpan and Span AspertheIncorrectDocsonFullSpanSpanpropertiesissuethedocumentationwasreversedonafewofthesepairs.huboardorder8.0,,gafter
roslyn,7986,6,Corrected documentation on FullSpan and Span,,AspertheIncorrectDocsonFullSpanSpanpropertiesissuethedocumentationwasreversedonafewofthesepairs.huboardorder8.0,15/01/2015,9/02/2015,,,Corrected documentation on FullSpan and Span AspertheIncorrectDocsonFullSpanSpanpropertiesissuethedocumentationwasreversedonafewofthesepairs.huboardorder8.0,,leppie
roslyn,37247,7,Feature: Parameter Name Aliasing,"
		public static void Member1(string first, string second) { }

		private static void Caller1() { Member1(secondAndHalf: ""secondly, this is not a bad idea after all"",
				  Initial: ""Initially it sounded moot... :)  "");
		}

		private static void Caller2() {
		  Member1(first: ""1st"",
				  quarterToThree: ""almost there"");
		}

		private static void Caller3() {
		  Member1(""one"", ""two"");
		}

		public static void Member1(string first, string second) {  }

		public static void Member1(string first, string secondAndHalf, string devNull = null) { 
		  Member1(first, secondAndHalf);
		}",Thehumanmeaningofparametersmayvaryfrommethodcallersperspective.Itwouldbeusefulifthelanguageprovidesanabilitytoassignaliasestotheparameters.NotetheparameterdevNullmayviolateCA1026incaseofoverriddenmethods.OntheflipsidesettingdevNullasnondefaultparameterwouldyieldunusedparameter.RelatedRealworldexample,15/01/2015,26/08/2015,"member void,694221652,string void,694221652,string void,-2089506901,first void,-2089506901,second void,-1738267790,METHOD_NAME string,1444312316,first string,-1448776625,first string,-1448776625,second string,1444312316,second string,-1843379885,METHOD_NAME string,-1843379885,METHOD_NAME first,2128036864,second first,1220700863,METHOD_NAME second,1220700863,METHOD_NAME string,1372983156,string string,1372983156,string
caller void,-1510064481,member void,2124254137,second|and|half void,228337441,secondlyC|this|is|not|a|bad|idea|after|all void,-1065451153,initial void,1090719897,initially|it|sounded|moot void,-1738267790,METHOD_NAME member,-1685483750,second|and|half member,-645791124,secondlyC|this|is|not|a|bad|idea|after|all member,1143349827,initial member,1879516640,initially|it|sounded|moot member,1827317282,METHOD_NAME second|and|half,-1842315168,secondlyC|this|is|not|a|bad|idea|after|all second|and|half,-1719858887,initial second|and|half,1860072893,initially|it|sounded|moot second|and|half,989296641,METHOD_NAME secondlyC|this|is|not|a|bad|idea|after|all,-1310981394,initial secondlyC|this|is|not|a|bad|idea|after|all,2059982710,initially|it|sounded|moot secondlyC|this|is|not|a|bad|idea|after|all,-1753516462,METHOD_NAME initial,-1842315168,initially|it|sounded|moot initial,1965207372,METHOD_NAME initially|it|sounded|moot,1587143057,METHOD_NAME
caller void,-1510064481,member void,2124254137,first void,228337441,st void,-1065451153,quarter|to|three void,1090719897,almost|there void,-1738267790,METHOD_NAME member,-1685483750,first member,-645791124,st member,1143349827,quarter|to|three member,1879516640,almost|there member,1827317282,METHOD_NAME first,-1842315168,st first,-1719858887,quarter|to|three first,1860072893,almost|there first,989296641,METHOD_NAME st,-1310981394,quarter|to|three st,2059982710,almost|there st,-1753516462,METHOD_NAME quarter|to|three,-1842315168,almost|there quarter|to|three,1965207372,METHOD_NAME almost|there,1587143057,METHOD_NAME
caller void,-1510064481,member void,228337441,one void,1090719897,two void,-1738267790,METHOD_NAME member,-645791124,one member,1879516640,two member,1827317282,METHOD_NAME one,2059982710,two one,-1753516462,METHOD_NAME two,1587143057,METHOD_NAME
member void,694221652,string void,694221652,string void,-2089506901,first void,-2089506901,second void,-1738267790,METHOD_NAME string,1444312316,first string,-1448776625,first string,-1448776625,second string,1444312316,second string,-1843379885,METHOD_NAME string,-1843379885,METHOD_NAME first,2128036864,second first,1220700863,METHOD_NAME second,1220700863,METHOD_NAME string,1372983156,string string,1372983156,string
member void,694221652,string void,694221652,string void,694221652,string void,-2089506901,first void,1563129750,first void,-2089506901,second|and|half void,1083219773,second|and|half void,-2089506901,dev|null void,-1510064481,member void,-1738267790,METHOD_NAME string,1444312316,first string,-1448776625,first string,-1448776625,first string,615348291,first string,615348291,first string,615348291,first string,-1448776625,second|and|half string,1444312316,second|and|half string,-1448776625,second|and|half string,521665536,second|and|half string,521665536,second|and|half string,521665536,second|and|half string,-1448776625,dev|null string,-1448776625,dev|null string,1444312316,dev|null string,329670582,member string,329670582,member string,329670582,member string,-1843379885,METHOD_NAME string,-1843379885,METHOD_NAME string,-1843379885,METHOD_NAME first,2128036864,second|and|half first,-348056533,second|and|half first,1753047160,second|and|half first,650503532,second|and|half first,2128036864,dev|null first,-348056533,dev|null first,909413215,member first,-1909279864,member first,1220700863,METHOD_NAME first,184623674,METHOD_NAME second|and|half,2128036864,dev|null second|and|half,732156431,dev|null second|and|half,909413215,member second|and|half,178503720,member second|and|half,1220700863,METHOD_NAME second|and|half,-1182401164,METHOD_NAME dev|null,909413215,member dev|null,1220700863,METHOD_NAME member,1827317282,METHOD_NAME string,1372983156,string string,1372983156,string string,1372983156,string string,1372983156,string string,1372983156,string string,1372983156,string first,-348056533,first first,-517984878,first second|and|half,732156431,second|and|half second|and|half,1753047160,second|and|half",,Feature: Parameter Name Aliasing Thehumanmeaningofparametersmayvaryfrommethodcallersperspective.Itwouldbeusefulifthelanguageprovidesanabilitytoassignaliasestotheparameters.NotetheparameterdevNullmayviolateCA1026incaseofoverriddenmethods.Ontheflipsidesetti,"member void,694221652,string void,694221652,string void,-2089506901,first void,-2089506901,second void,-1738267790,METHOD_NAME string,1444312316,first string,-1448776625,first string,-1448776625,second string,1444312316,second string,-1843379885,METHOD_NA",chsienki
roslyn,20681,6,Corrected documentation on FullSpan and Span,,AspertheIncorrectDocsonFullSpanSpanpropertiesissuethedocumentationwasreversedonafewofthesepairs.huboardorder8.0,15/01/2015,9/02/2015,,,Corrected documentation on FullSpan and Span AspertheIncorrectDocsonFullSpanSpanpropertiesissuethedocumentationwasreversedonafewofthesepairs.huboardorder8.0,,VSadov
roslyn,26641,43,"Develop csc/vbc override tasks for Microsoft.Net.Compilers NuPkg so that NuGet users of Roslyn can use Analyzers at build time (VS2013, or non-Windows)",,CurrentlycompilerusersevenonVS2013caneasilyupgradetoRoslynbyreferencingtheNuPkg.IftheyarestayingonC5VB11thentheycanevengetareasonablycooperativeIDEexperience.HoweverifMicrosoft.Net.CompilersincludedcscvbcMSBuildtaskstheycouldalsostartusingRoslynanalyzersassoonastheygotthecompilerNuGet.ThismaybemeaningfulforcustomerswhoarenotyetreadytoupgradetoVS2015oralsoforsomeNuGetusersonMonononWindows.Thoughweshouldcheckonthexbuildsupport.huboardorder7.09375milestone_order43custom_state,20/01/2015,29/01/2020,,,"Develop csc/vbc override tasks for Microsoft.Net.Compilers NuPkg so that NuGet users of Roslyn can use Analyzers at build time (VS2013, or non-Windows) CurrentlycompilerusersevenonVS2013caneasilyupgradetoRoslynbyreferencingtheNuPkg.IftheyarestayingonC5VB1",,mikkelbu
orleans,63,8,Code generation does not correctly escape language keywords used as identifiers,"
		public interface IReproGrain : IGrainWithIntegerKey
		{
		  Task Repro(int @event, bool @new, string @class);
		}",Parameterswhichuselanguagekeywordsastheirnamearenotcorrectlyescapedbycurrentcodegenerationwhichcausescompilationfailures.ForexamplethiswillcausegeneratedcodetofailtocompileAbunchofearlyadoptershaverunintothisissueservesusrightforcallingparameterseventstuck_out_tongue_closed_eyes,24/01/2015,1/02/2015,"repro task,-690574297,int task,-561913918,event task,-690574297,bool task,-561913918,new task,-690574297,string task,-561913918,class task,-62413241,METHOD_NAME int,1444312316,event int,1372983156,bool int,-1448776625,new int,1372983156,string int,-1448776625,class int,-1843379885,METHOD_NAME event,398181670,bool event,2128036864,new event,398181670,string event,2128036864,class event,1220700863,METHOD_NAME bool,1444312316,new bool,1372983156,string bool,-1448776625,class bool,-1843379885,METHOD_NAME new,398181670,string new,2128036864,class new,1220700863,METHOD_NAME string,1444312316,class string,-1843379885,METHOD_NAME class,1220700863,METHOD_NAME",,Code generation does not correctly escape language keywords used as identifiers Parameterswhichuselanguagekeywordsastheirnamearenotcorrectlyescapedbycurrentcodegenerationwhichcausescompilationfailures.ForexamplethiswillcausegeneratedcodetofailtocompileAbu,"repro task,-690574297,int task,-561913918,event task,-690574297,bool task,-561913918,new task,-690574297,string task,-561913918,class task,-62413241,METHOD_NAME int,1444312316,event int,1372983156,bool int,-1448776625,new int,1372983156,string int,-144877",ReubenBond
orleans,70,12,Reminder service fails to start with SQL server system store,,WhenusingtheSqlServersystemstoretheremindersservicefailstoreadfromthedatabaseduringsilostartup.Itlookslikethehashvaluechangedfrominttouintbetweenthepreviewand1.0releasehoweverSQLServerdoesntnativelyhandleunsigneddatatypes.,24/01/2015,1/02/2015,,,Reminder service fails to start with SQL server system store WhenusingtheSqlServersystemstoretheremindersservicefailstoreadfromthedatabaseduringsilostartup.Itlookslikethehashvaluechangedfrominttouintbetweenthepreviewand1.0releasehoweverSQLServerdoesntnati,,hstuart
