IssueLabelID,Title,Description,Label,CreatedAt,ClosedAt,Assignee
39087,Test VB case sensitive behavior vs the specification,We should test to see if the VB compiler complies with the language specification in handling case insensitivity.  Below are a few of the language specification's assertions.  If there is a mismatch we will have to decide whether we want to change the co,Area-Compilers|Language-VB|Test|Test-Gap|help wanted,5/10/2019 11:03:41 PM +00:00,,
39085,Fix Issue #9658,Add doc to CSharpCompilation.ClassifyConversion method,Area-Compilers|Community,5/10/2019 2:26:03 PM +00:00,7/10/2019 4:58:03 PM +00:00,333fred
39079,Fix generate method type parameter nullability,"",Area-IDE,4/10/2019 10:56:52 PM +00:00,,jasonmalinowski
39073,Completion: save trigger location per item,Attempt to fix https://github.com/dotnet/roslyn/issues/38596,Area-IDE|IDE-IntelliSense,4/10/2019 8:11:45 PM +00:00,10/10/2019 11:49:02 PM +00:00,
39071,Skip TestExpanderWithImportCompletionDisabled,related to #39070,Area-Infrastructure,4/10/2019 6:20:41 PM +00:00,6/10/2019 6:09:31 PM +00:00,
39069,Refactor merging types (dynamic tuple names nullability) into a single pass,Fixes #30669,Area-Compilers,4/10/2019 6:00:58 PM +00:00,14/10/2019 9:02:53 PM +00:00,gafter
39067,updates Roslyn to consume 16.4 version of Editor,"Update Roslyn to consume 16.4 version of the Editor.
This is the first 16.4 version of Editor which works (there were issues with shell packages) and merging of this PR will allow Editor team to continue with feature work",Area-Infrastructure,4/10/2019 5:31:07 PM +00:00,10/10/2019 10:57:12 PM +00:00,
39061,Spelling fixes,"",Area-IDE|Community,4/10/2019 1:15:35 PM +00:00,10/10/2019 12:10:17 AM +00:00,dibarbet
39054,Add annotations for symbol-related types and interfaces,"Builds on #39053. After that one is merged many files will drop out of this pull request.

Each commit was verified to compile successfully without new warnings so reviewers do have the option of going commit-by-commit.",Area-Compilers,4/10/2019 1:07:07 AM +00:00,,
39053,Annotate more compiler internal types,"These are internal types. There may be some cases where an annotation was missed but I used a working strategy of ""when it doubt prefer a non-nullable type if it builds successfully"". This is a stepping stone for a follow-up pull request where I start t",Area-Compilers,4/10/2019 12:58:25 AM +00:00,9/10/2019 11:58:41 PM +00:00,
39051,Add API for marking a syntax tree as generated,Provides API to fix #3705.,Area-Compilers,4/10/2019 12:10:50 AM +00:00,,
39035,Update PublishData.json,based on Jason's feedback in #39016,Area-Infrastructure,3/10/2019 7:44:54 PM +00:00,7/10/2019 7:38:14 PM +00:00,
39033,Enable support for bulk configuration of analyzer diagnostics for GeneralDiagnosticOption = Suppress,See discussion here: https://github.com/dotnet/roslyn/pull/38886/files#r330788291,Area-Analyzers|Feature Request,3/10/2019 7:22:49 PM +00:00,,
39031,Fix import completion crash in interactive window,"Fix NRE  in import completion when using interactive window 
#39027 

@tmat @ivanbasov Please review",Approved to merge|Area-IDE|Area-Interactive,3/10/2019 6:10:38 PM +00:00,3/10/2019 10:10:34 PM +00:00,
39030,Interactive VSIX build is missing CSI.EXE,"**Version Used**: latest

**Steps to Reproduce**:

1. Go to MyGet Roslyn
2. Download Interactive VSIX
3. Rename to ZIP and unpack

**Expected Behavior**:
CSI.EXE should be among the files

**Actual Behavior**:
CSI.EXE is nowhere to be found",Area-Infrastructure,3/10/2019 5:33:36 PM +00:00,,
39026,Don't build .NET FX assets in source-build,These changes let us eliminate the prebuilt .NET FX reference assemblies from source-build.  In addition to the obvious TFM change we need to change the Compilers package to include the `build/` files since that's how downstream repos pick up the Roslyn,Area-Infrastructure|Source-Build,3/10/2019 4:41:12 PM +00:00,,
39018,Disable assert tracked by https://github.com/dotnet/roslyn/iss…,@cston for review. This is a test-only change despite being in production code as it's a debug assert only.,Area-Infrastructure|Disabled Test|New Feature - IOperation,3/10/2019 6:18:17 AM +00:00,3/10/2019 9:27:13 PM +00:00,
39016,Update config for snap,Updates publish data and version for 16.4-p3 snap. Merge after we have everything we need merged for a good signed build out of master-vs-deps.,Area-Infrastructure|Urgency-Soon,3/10/2019 1:57:56 AM +00:00,3/10/2019 4:33:37 PM +00:00,
39015,Track local telemetry during remote LSP experimentation for comparison.,track local telemetry for syntax classifications during LSP guest session.  the idea here is that walking the tree is fast longest operation is actually building it so that's the best comparison to make,Area-IDE,3/10/2019 12:43:38 AM +00:00,8/10/2019 5:29:40 PM +00:00,
39014,Enable warnAsError for correctness builds,These changes setup the Correctness Test leg to fail when the formatting analyzer reports warnings. Other test legs will ignore these warnings and run unit tests as expected. Local builds (`.\build.cmd` and VS) will report warnings but not fail the build.,Area-Infrastructure,3/10/2019 12:21:47 AM +00:00,9/10/2019 7:56:30 PM +00:00,
39013,NoWarn NU5128 instead of suppressing dependencies,Our NuGet meta-packages were not being generated with package dependencies because they were being suppressed.  Temporary workaround for https://github.com/NuGet/Home/issues/8583,Area-Infrastructure,3/10/2019 12:07:07 AM +00:00,3/10/2019 10:44:55 PM +00:00,
39008,"Revert ""Use new Span/Memory APIs on System.Collections.Immutable""","Reverts dotnet/roslyn#38809

Getting VS to be happy with the new System.Collections.Immutable version is proving pretty tricky so we are gonna have this PR here in case we need to flow it in to get a working insertion.",Area-Infrastructure,2/10/2019 11:15:23 PM +00:00,3/10/2019 5:02:31 AM +00:00,
39006,F# External Access - Removed loc entries that are not used.,This removes some resource entries that are not used in the resx file specifically for F# external access. It effectively means we don't need to worry about loc for them. We also do not use these resources in FSharp.Editor.,Area-IDE|Community,2/10/2019 9:54:21 PM +00:00,,
39005,Delete tools that were migrated to roslyn-tools,These live in https://github.com/dotnet/roslyn-tools and should have been deleted long ago.,"",2/10/2019 9:46:43 PM +00:00,7/10/2019 7:33:31 PM +00:00,jasonmalinowski
39004,Fix favorites for expansions of nullables,Children of nullables in member expansions should support being added as favorites.,Community|Interactive-Debugging,2/10/2019 9:18:31 PM +00:00,2/10/2019 10:47:44 PM +00:00,ivanbasov
39003,"Fix incorrect diagnostic message for ""using""","This removes the incorrect phrase "" or implement a suitable 'Dispose' method"" when `using` a type that doesn't implement `IDisposable`.

For #33746.",Area-Compilers|Community,2/10/2019 8:28:04 PM +00:00,,
38999,Update Formatter.OrganizeImportsAsync to make the cancellation token optional,Resolves https://github.com/dotnet/roslyn/issues/38758,"",2/10/2019 5:55:20 PM +00:00,4/10/2019 9:33:30 PM +00:00,jasonmalinowski
39401,Completion: support local language identifiers and en-us keywords,"Fixes https://github.com/dotnet/roslyn/issues/29938

Tests borrowed from https://github.com/dotnet/roslyn/pull/30391
Idea of implementation is suggested by @jasonmalinowski",Area-IDE|IDE-IntelliSense,19/10/2019 12:11:23 AM +00:00,,
39395,Performance fix in analyzer driver for CFG based analyzers,We expose public APIs on IOperation related analysis contexts to allow flow based analyzers to fetch ControlFlowGraph for the operation block. Additionally the analyzer driver caches the CFGs for operation block (when first requested by some flow based a,Area-Analyzers|Area-Compilers,18/10/2019 9:40:20 PM +00:00,,
39393,Fix switch expression conversion creates broken code due to unspecific var return,"Fixes #38771 and fixes #39363 

Also changed the result of an existing test that seems to result in a compiler error.",Area-IDE,18/10/2019 7:32:26 PM +00:00,,
39392,Extern local functions,"",PR For Personal Review Only,18/10/2019 7:31:12 PM +00:00,,
39373,Minor using decl fixes,"Some minor cleanup for using declarations

Fixes https://github.com/dotnet/roslyn/issues/28892
Fixes https://github.com/dotnet/roslyn/issues/32318",Area-Compilers|New Language Feature - enhanced using,17/10/2019 11:16:44 PM +00:00,18/10/2019 9:50:12 PM +00:00,
39372,UsingStatement should put the statement in a member body before parsing,I found that writing parsing tests via `UsingStatement()` instead of `UsingTree()` can miss bugs because the test will not check `LanguageParser.IsPossibleStatement` (and probably other checks) before trying to parse. When the statement appears in real co,Area-Compilers|Bug|Test,17/10/2019 10:58:48 PM +00:00,,
39370,Remove dedicated tuple type symbol,Fixes https://github.com/dotnet/roslyn/issues/20648,Area-Compilers,17/10/2019 9:38:24 PM +00:00,,jcouv
39365,Add test for #34921,"Adds a missing test to cover #34921 

Fixes #34921",Area-Compilers|New Language Feature - Nullable Reference Types|Test,17/10/2019 7:43:29 PM +00:00,17/10/2019 11:11:59 PM +00:00,
39335,Use ConstructWithNullability in InferTypeInAwaitExpression,"The inferred type may include nullability information and will fail to be recognized as a symbol without using the correct construct call. 

Fixes #39333",Area-IDE|New Language Feature - Nullable Reference Types,16/10/2019 10:33:13 PM +00:00,17/10/2019 6:02:44 PM +00:00,
39334,follow up for Go to base: support metadata references and bug fixes,Addressing feedback at https://github.com/dotnet/roslyn/pull/39055#pullrequestreview-302246824,Area-IDE|Concept-Continuous Improvement,16/10/2019 10:22:34 PM +00:00,,
39330,Skip RenamingEscapedIdentifiers,"Related to #29483

flaky build (see attempt 1): https://dev.azure.com/dnceng/public/_build/results?buildId=390082&view=ms.vss-test-web.build-test-results-tab&runId=12097348&resultId=138635&paneView=debug",Area-Infrastructure,16/10/2019 7:40:38 PM +00:00,16/10/2019 9:22:37 PM +00:00,
39324,Remove analyzer workarounds for using declarations,"Remove workarounds introduced introduced in https://github.com/dotnet/roslyn/pull/36734 as #32100 is now implemented.",Area-Analyzers|Area-Compilers,16/10/2019 6:53:08 PM +00:00,16/10/2019 8:43:23 PM +00:00,
39316,Enable virtual/override recommender on private protected members,Fixes #39263,Area-IDE|Community,16/10/2019 4:04:49 PM +00:00,16/10/2019 7:21:10 PM +00:00,ivanbasov
